station_coordinates,station_name,station_type,transport_type,station_exploitant
"[48.82150891646152, 2.3333398328576447]",Montsouris,TRAMWAY,TRAM 3a,RATP
"[48.82868555053027, 2.30080195156065]",Brancion,TRAMWAY,TRAM 3a,RATP
"[48.82471101786912, 2.3188296926202256]",Jean Moulin,TRAMWAY,TRAM 3a,RATP
"[48.924375142496096, 2.402073412996909]",Stade Géo André,TRAMWAY,TRAM 1,RATP
"[48.94780764866504, 2.3391809234155634]",Blumenthal,TRAMWAY,TRAM 8,RATP
"[48.94993773472301, 2.3288321713539433]",Les Mobiles,TRAMWAY,TRAM 8,RATP
"[48.955876873953365, 2.311526308692632]",Lacépède,TRAMWAY,TRAM 8,RATP
"[48.934608566729516, 2.3214951981707097]",Chemin des Reniers,TRAMWAY,TRAM 1,RATP
"[48.933355381294895, 2.2946029893860733]",Le Village,TRAMWAY,TRAM 1,RATP
"[48.90766458300991, 2.2383093022906753]",Charlebourg,TRAMWAY,TRAM 2,RATP
"[48.91080258881115, 2.2339886014254824]",Jacqueline Auriol,TRAMWAY,TRAM 2,RATP
"[48.85870400928585, 2.4096856856041025]",Marie de Miribel,TRAMWAY,TRAM 3b,RATP
"[48.83038858965819, 2.393449698306367]",Baron Le Roy,TRAMWAY,TRAM 3a,RATP
"[48.89849110062258, 2.3636513821811365]",Colette Besson,TRAMWAY,TRAM 3b,RATP
"[48.97749308904135, 2.372242923708273]",Les Cholettes,TRAMWAY,TRAM 5,RATP
"[48.938947882682534, 2.356334439358092]",Marché de Saint-Denis,TRAMWAY,TRAM 5,RATP
"[48.71451272435505, 2.371747143464364]",Porte de l'Essonne,TRAMWAY,TRAM 7,RATP
"[48.785121412393345, 2.1787985902704734]",Robert Wagner,TRAMWAY,TRAM 6,RATP
"[48.78368721429029, 2.246977649164127]",Mail de la Plaine,TRAMWAY,TRAM 6,RATP
"[48.78045471059558, 2.1914099192732954]",Mairie de Vélizy,TRAMWAY,TRAM 6,RATP
"[48.89832910346501, 2.3517120717216233]",Diane Arbus,TRAMWAY,TRAM 3b,RATP
"[48.889739950170885, 2.303276049692934]",Porte d'Asnières,TRAMWAY,TRAM 3b,RATP
"[48.927250609666395, 2.2743361323893034]",Asnières Quatre Routes,TRAMWAY,TRAM 1,RATP
"[48.907868478658806, 2.5463803994280094]",Clichy-sous-Bois Mairie,TRAMWAY,TRAM 4,SNCF
"[48.904573065543026, 2.5550142670142626]",Clichy - Montfermeil,TRAMWAY,TRAM 4,SNCF
"[48.900919679716836, 2.5560690265844714]",Notre-Dame-des-Anges,TRAMWAY,TRAM 4,SNCF
"[48.912704974361645, 2.435420992985438]",Escadrille Normandie-Niémen,TRAMWAY,TRAM 1,RATP
"[48.90041730313167, 2.465460481358354]",Petit Noisy,TRAMWAY,TRAM 1,RATP
"[48.833314270546786, 2.2768549764108]",Suzanne Lenglen,TRAMWAY,TRAM 2,RATP
"[48.780730968215366, 2.2398320176249897]",Pavé Blanc,TRAMWAY,TRAM 6,RATP
"[48.78350097476932, 2.2309835589388722]",Georges Millandy,TRAMWAY,TRAM 6,RATP
"[48.90276802462004, 2.2395420349525783]",Les Fauvelles,TRAMWAY,TRAM 2,RATP
"[48.756701025400794, 2.368367466323624]",La Belle Épine,TRAMWAY,TRAM 7,RATP
"[49.032279109980884, 2.699222253625638]",Dammartin-Juilly-Saint-Mard,TRAIN,TRAIN K,SNCF
"[48.84519309572949, 2.5256159084395455]",Bry-sur-Marne,RER,RER A,RATP
"[48.90581841066141, 2.283021086099524]",Asnières-sur-Seine,TRAIN,TRAIN L,SNCF
"[48.44806161422078, 1.480196791448219]",Chartres,TRAIN,GL,SNCF
"[48.54266517075563, 1.590079046166316]",Saint-Piat,TRAIN,GL,SNCF
"[48.07340700916987, 1.338434763204049]",Châteaudun,TRAIN,GL,SNCF
"[48.19836234136171, 3.267371200334765]",Sens,TRAIN,GL,SNCF
"[48.73117969276619, 1.3704666816488704]",Dreux,TRAIN,TRAIN N,SNCF
"[48.84715690062344, 2.2780362819959077]",Javel,RER,RER C,SNCF
"[48.97459610189591, 2.048673060384748]",Andrésy,TRAIN,TRAIN J,SNCF
"[48.89862464803908, 2.2491965080151246]",Courbevoie,TRAIN,TRAIN L,SNCF
"[48.407282993152016, 2.7989224425509667]",Champagne-sur-Seine,TRAIN,TRAIN R,SNCF
"[48.75518504105718, 1.9430499444004297]",La Verrière,TRAIN,TRAIN U,SNCF
"[48.89462433307477, 2.3142338462894245]",Porte de Clichy,TRAMWAY,TRAM 3b,RATP
"[48.85190531802241, 2.3979973148307456]",Avron,METRO,METRO 2,RATP
"[48.7966821340621, 2.449412805145807]",Créteil–L’Échat,METRO,METRO 8,RATP
"[48.87600859287756, 2.344572482089328]",Cadet,METRO,METRO 7,RATP
"[48.89465585739898, 2.382160158371537]",Corentin Cariou,METRO,METRO 7,RATP
"[48.883193320365734, 2.3719331286142937]",Jaurès,METRO,METRO 5,RATP
"[48.884970561831835, 2.3787169232246446]",Laumière,METRO,METRO 5,RATP
"[48.884798251049716, 2.369580855577829]",Stalingrad,METRO,METRO 7,RATP
"[48.88222543299418, 2.3382334685046167]",Pigalle,METRO,METRO 2,RATP
"[48.87059047707668, 2.348491131078988]",Bonne Nouvelle,METRO,METRO 8,RATP
"[48.86943888072466, 2.308607493526255]",Franklin D. Roosevelt,METRO,METRO 1,RATP
"[48.93805733018905, 2.360792492279712]",Basilique de Saint-Denis,TRAMWAY,TRAM 1,RATP
"[48.93499415964387, 2.326951043779735]",La Noue,TRAMWAY,TRAM 1,RATP
"[48.872154105379316, 2.068709986317736]",L'Etang - Les Sablons,TRAMWAY,TRAM 13,TRANSKEO
"[48.880991439816405, 2.079177394694268]",Mareil-Marly,TRAMWAY,TRAM 13,TRANSKEO
"[48.8947371484425, 2.069974306780277]",Fourqueux - Bel Air,TRAMWAY,TRAM 13,TRANSKEO
"[48.867950141858145, 2.0508259503050965]",Saint-Nom La Bretèche - Forêt de Marly,TRAMWAY,TRAM 13,TRANSKEO
"[48.761224561446234, 2.291974812661954]",LaVallée,TRAMWAY,TRAM 10,RD Bièvre
"[48.762970469556166, 2.3047519014655236]",La Croix de Berny,TRAMWAY,TRAM 10,RD Bièvre
"[48.96375542868628, 2.372103138402568]",Pierrefitte Stains,RER,RER D,SNCF
"[48.7510232741848, 2.215860857351649]",Bièvres,RER,RER C,SNCF
"[48.955402243597064, 2.093521901580611]",Achères-Grand-Cormier,RER,RER A,SNCF
"[48.97066504738864, 2.0777317645655975]",Achères-Ville,RER,RER A,SNCF
"[48.712628986541134, 2.403633104908492]",Athis-Mons,RER,RER C,SNCF
"[48.87215749394265, 2.329927170608275]",Auber,RER,RER A,RATP
"[49.09840026154347, 2.361270555241056]",Belloy-Saint-Martin,TRAIN,TRAIN H,SNCF
"[49.03531130758752, 2.2102465210570594]",Bessancourt,TRAIN,TRAIN H,SNCF
"[48.85999872950428, 1.8755955903020667]",Beynes,TRAIN,TRAIN N,SNCF
"[48.701217719380196, 2.097975858420524]",Courcelle-sur-Yvette,RER,RER B,RATP
"[49.05510175955669, 2.1227359082735706]",Épluches,TRAIN,TRAIN H,SNCF
"[49.03646397979169, 2.079534939997373]",Cergy-Préfecture,RER,RER A,SNCF
"[49.04964700432274, 2.0342944618526615]",Cergy-Saint-Christophe,RER,RER A,SNCF
"[48.56494949473517, 2.594551816007612]",Cesson,RER,RER D,SNCF
"[48.885211217274076, 2.1559034718965218]",Châtou-Croissy,RER,RER A,RATP
"[48.87414408208016, 2.583331158055107]",Chelles-Gournay,RER,RER E,SNCF
"[48.97674784735997, 2.3905936526418374]",Garges-Sarcelles,RER,RER D,SNCF
"[48.98431596113202, 2.3534072458696835]",Groslay,TRAIN,TRAIN H,SNCF
"[48.99371347945197, 2.234276393996537]",Franconville-Le Plessis-Bouchard,RER,RER C,SNCF
"[49.045430253303934, 2.1970876783182622]",Frépillon,TRAIN,TRAIN H,SNCF
"[48.871503102724695, 2.096548252755342]",Marly-le-Roi,TRAIN,TRAIN L,SNCF
"[48.99609884164107, 2.259655619057618]",Gros-Noyer-Saint-Prix,TRAIN,TRAIN H,SNCF
"[48.810775320845664, 2.953730383101934]",Guérard-la-Celle-sur-Morin,TRAIN,TRAIN P,SNCF
"[48.63426831143351, 2.4525733922724493]",Évry,RER,RER D,SNCF
"[48.808653963998374, 2.993109893419177]",Faremoutiers-Pommeuse,TRAIN,TRAIN P,SNCF
"[48.92037937299015, 2.1853533763028636]",Houilles-Carrières-sur-Seine,RER,RER A,SNCF
"[48.9792922476105, 1.7839734077298484]",Issou-Porcheville,TRAIN,TRAIN J,SNCF
"[48.81398905107478, 2.391686971662538]",Ivry-sur-Seine,RER,RER C,SNCF
"[48.29359176777949, 2.4011338944295835]",Malesherbes,RER,RER D,SNCF
"[48.89298157563894, 1.871845413636553]",Mareil-sur-Mauldre,TRAIN,TRAIN N,SNCF
"[49.058047810832775, 2.1912447591919104]",Méry-sur-Oise,TRAIN,TRAIN H,SNCF
"[48.97585875308649, 2.6424063023101887]",Mitry-Claye,RER,RER B,SNCF
"[48.37864192734427, 2.896381899038523]",La Grande Paroisse,TRAIN,TRAIN R,SNCF
"[48.52040359013404, 2.2547397024275164]",Lardy,RER,RER C,SNCF
"[48.930739569383356, 2.4257914255599533]",Le Bourget,RER,RER B,SNCF
"[48.99259195381762, 1.9135305080946596]",Les Mureaux,TRAIN,TRAIN J,SNCF
"[48.82315185489966, 2.5798372539116783]",Les Yvris-Noisy-le-Grand,RER,RER E,SNCF
"[48.868064422312685, 2.0767191026772904]",L'Étang-la-Ville,TRAIN,TRAIN L,SNCF
"[48.51026517433205, 2.6789739826914003]",Livry-sur-Seine,TRAIN,TRAIN R,SNCF
"[48.705968983887125, 2.2122623780174924]",Lozère,RER,RER B,RATP
"[49.11713213053676, 2.420107032801723]",Luzarches,TRAIN,TRAIN H,SNCF
"[48.80204937938918, 2.426482408484047]",Maisons-Alfort-Alfortville,RER,RER D,SNCF
"[48.716946286650035, 2.2456725145819054]",Palaiseau,RER,RER B,RATP
"[48.83428889796156, 2.4716812425710324]",Nogent-sur-Marne,RER,RER A,RATP
"[48.84288483988904, 2.5800859119743556]",Noisy-Champs,RER,RER A,RATP
"[49.019136738908486, 2.1546634856409232]",Pierrelaye,TRAIN,TRAIN H,SNCF
