station_coordinates,station_name,station_slug,station_type,transport_type,transport_index
"[48.96375542868628, 2.372103138402568]",Pierrefitte Stains,Pierrefitte Stains,RER,RER D,D
"[48.7510232741848, 2.215860857351649]",Bièvres,Bièvres,RER,RER C,C
"[48.955402243597064, 2.093521901580611]",Achères-Grand-Cormier,Achères-Grand-Cormier,RER,RER A,A
"[48.97066504738864, 2.0777317645655975]",Achères-Ville,Achères-Ville,RER,RER A,A
"[48.712628986541134, 2.403633104908492]",Athis-Mons,Athis-Mons,RER,RER C,C
"[48.87215749394265, 2.329927170608275]",Auber,Auber,RER,RER A,A
"[49.09840026154347, 2.361270555241056]",Belloy-Saint-Martin,Belloy-Saint-Martin,TRAIN,TRANSILIEN H,H
"[49.03531130758752, 2.2102465210570594]",Bessancourt,Bessancourt,TRAIN,TRANSILIEN H,H
"[48.85999872950428, 1.8755955903020667]",Beynes,Beynes,TRAIN,TRANSILIEN N,N
"[48.701217719380196, 2.097975858420524]",Courcelle-sur-Yvette,Courcelle-sur-Yvette,RER,RER B,B
"[49.05510175955669, 2.1227359082735706]",Épluches,Épluches,TRAIN,TRANSILIEN H,H
"[49.03646397979169, 2.079534939997373]",Cergy-Préfecture,Cergy-Préfecture,RER,RER A,A
"[49.04964700432274, 2.0342944618526615]",Cergy-Saint-Christophe,Cergy-Saint-Christophe,RER,RER A,A
"[48.56494949473517, 2.594551816007612]",Cesson,Cesson,RER,RER D,D
"[48.885211217274076, 2.1559034718965218]",Châtou-Croissy,Châtou-Croissy,RER,RER A,A
"[48.87414408208016, 2.583331158055107]",Chelles-Gournay,Chelles-Gournay,RER,RER E,E
"[48.97674784735997, 2.3905936526418374]",Garges-Sarcelles,Garges-Sarcelles,RER,RER D,D
"[48.98431596113202, 2.3534072458696835]",Groslay,Groslay,TRAIN,TRANSILIEN H,H
"[48.99371347945197, 2.234276393996537]",Franconville-Le Plessis-Bouchard,Franconville-Le Plessis-Bouchard,RER,RER C,C
"[49.045430253303934, 2.1970876783182622]",Frépillon,Frépillon,TRAIN,TRANSILIEN H,H
"[48.871503102724695, 2.096548252755342]",Marly-le-Roi,Marly-le-Roi,TRAIN,TRANSILIEN L,L
"[48.99609884164107, 2.259655619057618]",Gros-Noyer-Saint-Prix,Gros-Noyer-Saint-Prix,TRAIN,TRANSILIEN H,H
"[48.810775320845664, 2.953730383101934]",Guérard-la-Celle-sur-Morin,Guérard-la-Celle-sur-Morin,TRAIN,TRANSILIEN P,P
"[48.63426831143351, 2.4525733922724493]",Évry,Évry,RER,RER D,D
"[48.808653963998374, 2.993109893419177]",Faremoutiers-Pommeuse,Faremoutiers-Pommeuse,TRAIN,TRANSILIEN P,P
"[48.92037937299015, 2.1853533763028636]",Houilles-Carrières-sur-Seine,Houilles-Carrières-sur-Seine,RER,RER A,A
"[48.9792922476105, 1.7839734077298484]",Issou-Porcheville,Issou-Porcheville,TRAIN,TRANSILIEN J,J
"[48.81398905107478, 2.391686971662538]",Ivry-sur-Seine,Ivry-sur-Seine,RER,RER C,C
"[48.29359176777949, 2.4011338944295835]",Malesherbes,Malesherbes,RER,RER D,D
"[48.89298157563894, 1.871845413636553]",Mareil-sur-Mauldre,Mareil-sur-Mauldre,TRAIN,TRANSILIEN N,N
"[49.058047810832775, 2.1912447591919104]",Méry-sur-Oise,Méry-sur-Oise,TRAIN,TRANSILIEN H,H
"[48.97585875308649, 2.6424063023101887]",Mitry-Claye,Mitry-Claye,RER,RER B,B
"[48.37864192734427, 2.896381899038523]",La Grande Paroisse,La Grande Paroisse,TRAIN,TRANSILIEN R,R
"[48.52040359013404, 2.2547397024275164]",Lardy,Lardy,RER,RER C,C
"[48.930739569383356, 2.4257914255599533]",Le Bourget,Le Bourget,RER,RER B,B
"[48.99259195381762, 1.9135305080946596]",Les Mureaux,Les Mureaux,TRAIN,TRANSILIEN J,J
"[48.82315185489966, 2.5798372539116783]",Les Yvris-Noisy-le-Grand,Les Yvris-Noisy-le-Grand,RER,RER E,E
"[48.868064422312685, 2.0767191026772904]",L'Étang-la-Ville,L'Étang-la-Ville,TRAIN,TRANSILIEN L,L
"[48.51026517433205, 2.6789739826914003]",Livry-sur-Seine,Livry-sur-Seine,TRAIN,TRANSILIEN R,R
"[48.705968983887125, 2.2122623780174924]",Lozère,Lozère,RER,RER B,B
"[49.11713213053676, 2.420107032801723]",Luzarches,Luzarches,TRAIN,TRANSILIEN H,H
"[48.80204937938918, 2.426482408484047]",Maisons-Alfort-Alfortville,Maisons-Alfort-Alfortville,RER,RER D,D
"[48.716946286650035, 2.2456725145819054]",Palaiseau,Palaiseau,RER,RER B,B
"[48.83428889796156, 2.4716812425710324]",Nogent-sur-Marne,Nogent-sur-Marne,RER,RER A,A
"[48.84288483988904, 2.5800859119743556]",Noisy-Champs,Noisy-Champs,RER,RER A,A
"[49.019136738908486, 2.1546634856409232]",Pierrelaye,Pierrelaye,TRAIN,TRANSILIEN H,H
"[48.33648177967657, 2.7380016185325875]",Montigny-sur-Loing,Montigny-sur-Loing,TRAIN,TRANSILIEN R,R
"[48.37859776699086, 2.7993074292837785]",Moret-Veneux-les-Sablons,Moret-Veneux-les-Sablons,TRAIN,TRANSILIEN R,R
"[48.741878704743876, 2.4029086073679395]",Orly Ville,Orly Ville,RER,RER C,C
"[48.830959527712174, 1.960026560248268]",Plaisir-les-Clayes,Plaisir-les-Clayes,TRAIN,TRANSILIEN N,N
"[48.86266245075987, 2.300989969386769]",Pont de l'Alma,Pont de l'Alma,RER,RER C,C
"[48.78739023735681, 2.044621988534177]",Saint-Quentin-en-Yvelines,Saint-Quentin-en-Yvelines,TRAIN,TRANSILIEN U,U
"[48.702751041142115, 2.071242846320577]",Saint-Rémy-lès-Chevreuse,Saint-Rémy-lès-Chevreuse,RER,RER B,B
"[48.595563837056154, 2.5839477110612497]",Savigny-le-Temple-Nandy,Savigny-le-Temple-Nandy,RER,RER D,D
"[48.91756717565042, 2.3503895378897672]",Stade de France-Saint-Denis,Stade de France-Saint-Denis,RER,RER D,D
"[48.871714190222136, 2.2210295504311297]",Suresnes-Mont-Valérien,Suresnes-Mont-Valérien,TRAIN,TRANSILIEN L,L
"[49.11406195060892, 2.287915343526004]",Presles-Courcelles,Presles-Courcelles,TRAIN,TRANSILIEN H,H
"[48.5554261036265, 3.30179647607817]",Provins,Provins,TRAIN,TRANSILIEN P,P
"[48.658975422894706, 2.415206841330065]",Ris-Orangis,Ris-Orangis,RER,RER D,D
"[48.795654820477296, 2.65038766844115]",Roissy-en-Brie,Roissy-en-Brie,RER,RER E,E
"[48.74019544726775, 2.35163319817191]",Rungis-La Fraternelle,Rungis-La Fraternelle,RER,RER C,C
"[48.84610294770648, 2.2176210808904337]",Saint-Cloud,Saint-Cloud,TRAIN,TRANSILIEN U,U
"[48.96358968393914, 2.2859307182089417]",Saint-Gratien,Saint-Gratien,RER,RER C,C
"[48.82326663318944, 2.5426797940158528]",Villiers-sur-Marne - Le Plessis-Trévise,Villiers-sur-Marne - Le Plessis-Trévise,RER,RER E,E
"[48.8007184629288, 2.1713898127563778]",Viroflay Rive Gauche,Viroflay Rive Gauche,TRAIN,TRANSILIEN N,N
"[49.02177395531071, 2.229376488386947]",Vaucelles,Vaucelles,TRAIN,TRANSILIEN H,H
"[48.64437362398141, 2.825169932970372]",Verneuil-l'Etang,Verneuil-l'Etang,TRAIN,TRANSILIEN P,P
"[49.00811401680905, 2.680252455973216]",Thieux-Nantouillet,Thieux-Nantouillet,TRAIN,TRANSILIEN K,K
"[48.73948720636679, 2.7588245486748937]",Tournan,Tournan,TRAIN,TRANSILIEN P,P
"[48.77480280884466, 2.0065668690576657]",Trappes,Trappes,TRAIN,TRANSILIEN N,N
"[48.875208264520296, 2.6375907171679738]",Vaires-Torcy,Vaires-Torcy,TRAIN,TRANSILIEN P,P
"[49.11662788157165, 2.3682535476101876]",Viarmes,Viarmes,TRAIN,TRANSILIEN H,H
"[49.079272054054606, 2.3505136376252613]",Villaines,Villaines,TRAIN,TRANSILIEN H,H
"[48.006601456774845, 2.7431922431979743]",Montargis,Montargis,TRAIN,TRANSILIEN R,R
"[49.096120808888976, 2.7446862074424234]",Le Plessis-Belleville,Le Plessis-Belleville,TRAIN,TRANSILIEN K,K
"[48.839081279307386, 2.3830280811464517]",Paris-Bercy,Paris-Bercy,TRAIN,GL,GL
"[48.754946524596164, 2.3009868557349504]",Antony,Antony,VAL,ORLYVAL,ORL
"[48.72509804026411, 2.259946049525821]",Massy-Palaiseau,Massy-Palaiseau,RER,RER B,B
"[48.85290746187024, 2.5143124384334397]",Neuilly-Plaisance,Neuilly-Plaisance,RER,RER A,A
"[48.946893910210804, 2.5247790470568603]",Sevran-Beaudottes,Sevran-Beaudottes,RER,RER B,B
"[48.86736622488657, 2.051282049428052]",Saint-Nom-la-Bretèche - Forêt de Marly,Saint-Nom-la-Bretèche - Forêt de Marly,TRAIN,TRANSILIEN L,L
"[48.93948680986661, 1.9996036096602352]",Villennes-sur-Seine,Villennes-sur-Seine,TRAIN,TRANSILIEN J,J
"[49.004725623562045, 2.5712948444359345]",Terminal 2 - Gare TGV,Terminal 2 - Gare TGV,VAL,CDGVAL,CDG
"[49.03876204381963, 1.581532102335018]",Bonnières,Bonnières,TRAIN,TRANSILIEN J,J
"[48.86983048806187, 2.2748081536422338]",Avenue Foch,Avenue Foch,RER,RER C,C
"[48.689567256029264, 2.383833358799738]",Juvisy,Juvisy,RER,RER D,D
"[48.734888146410114, 2.2740024044842473]",Massy-Verrières,Massy-Verrières,RER,RER C,C
"[48.95693142564194, 2.873364799935517]",Meaux,Meaux,TRAIN,TRANSILIEN P,P
"[48.89218707551516, 2.2370180563950135]",La Défense,La Défense,TRAIN,TRANSILIEN U,U
"[48.89218707551516, 2.2370180563950135]",La Défense,La Défense,TRAIN,TRANSILIEN L,L
"[48.89085679537969, 2.8264054973040675]",Montry-Condé,Montry-Condé,TRAIN,TRANSILIEN P,P
"[48.275078231754726, 1.6221196174276982]",Voves,Voves,TRAIN,GL,GL
"[48.095892435455106, 2.7721048119391076]",Ferrières Fontenay,Ferrières Fontenay,TRAIN,TRANSILIEN R,R
"[48.880195486201494, 2.357633204680053]",Gare du Nord,Gare du Nord,METRO,METRO 5,5
"[48.88489625421614, 2.297724346480177]",Pereire-Levallois,Pereire-Levallois,METRO,METRO 3,3
"[48.87571908888893, 2.324224580938852]",Saint-Lazare,Saint-Lazare,METRO,METRO 14,14
"[48.84737487779481, 2.3954619948327394]",Nation,Nation,METRO,METRO 6,6
"[48.936155626323526, 2.346470902107097]",Saint-Denis,Saint-Denis,TRAMWAY,TRAM 1,1
"[48.930287860867686, 2.4233851067979795]",Le Bourget,Le Bourget,TRAMWAY,TRAM 11,11
"[48.842005346355, 2.2388873271530727]",Boulogne - Jean Jaurès,Boulogne - Jean Jaurès,METRO,METRO 10,10
"[48.8407450151916, 2.228536981491631]",Boulogne - Pont de Saint-Cloud,Boulogne - Pont de Saint-Cloud,METRO,METRO 10,10
"[48.86698310851503, 2.2900588335804866]",Boissière,Boissière,METRO,METRO 6,6
"[48.864766844037305, 2.300991003495584]",Alma-Marceau,Alma-Marceau,METRO,METRO 9,9
"[48.892082785032315, 2.2850095013824134]",Anatole France,Anatole France,METRO,METRO 3,3
"[48.875336841182126, 2.2901275088247]",Argentine,Argentine,METRO,METRO 1,1
"[48.81074648584623, 2.301678555482428]",Châtillon-Montrouge,Châtillon-Montrouge,METRO,METRO 13,13
"[48.844794762777255, 2.293951963648717]",Commerce,Commerce,METRO,METRO 8,8
"[48.86628580364943, 2.322943412243541]",Concorde,Concorde,METRO,METRO 1,1
"[48.86616711401473, 2.323175680856618]",Concorde,Concorde,METRO,METRO 12,12
"[48.87202380946529, 2.300560451236721]",George V,George V,METRO,METRO 1,1
"[48.91638230898788, 2.2946851117025537]",Gabriel Péri,Gabriel Péri,METRO,METRO 13,13
"[48.857477981594855, 2.3515775629949958]",Hôtel de Ville,Hôtel de Ville,METRO,METRO 1,1
"[48.863972477882776, 2.3496175641598396]",Étienne Marcel,Étienne Marcel,METRO,METRO 4,4
"[48.870396388290395, 2.3614002104327767]",Jacques Bonsergent,Jacques Bonsergent,METRO,METRO 5,5
"[48.882465244637686, 2.3701579617396105]",Jaurès,Jaurès,METRO,METRO 7bis,7b
"[48.815307530265535, 2.297077796972984]",Malakoff - Rue Étienne Dolet,Malakoff - Rue Étienne Dolet,METRO,METRO 13,13
"[48.8527251192356, 2.4060891618687723]",Maraîchers,Maraîchers,METRO,METRO 9,9
"[48.810129956339246, 2.3622633871273484]",Le Kremlin-Bicêtre,Le Kremlin-Bicêtre,METRO,METRO 7,7
"[48.83593030194427, 2.3525422662627014]",Les Gobelins,Les Gobelins,METRO,METRO 7,7
"[48.82662006452886, 2.405851943981901]",Liberté,Liberté,METRO,METRO 8,8
"[48.87023324246549, 2.325163546827897]",Madeleine,Madeleine,METRO,METRO 12,12
"[48.87976125216355, 2.4164796436815146]",Mairie des Lilas,Mairie des Lilas,METRO,METRO 11,11
"[48.862348029905775, 2.336496460942477]",Palais Royal - Musée du Louvre,Palais Royal - Musée du Louvre,METRO,METRO 1,1
"[48.86525378511986, 2.3745819699964117]",Parmentier,Parmentier,METRO,METRO 3,3
"[48.84267681904916, 2.3128127748369014]",Pasteur,Pasteur,METRO,METRO 6,6
"[48.8631232137076, 2.385882449326147]",Père Lachaise,Père Lachaise,METRO,METRO 3,3
"[48.83321671877524, 2.362856399519012]",Nationale,Nationale,METRO,METRO 6,6
"[48.852300762159715, 2.339727781593095]",Odéon,Odéon,METRO,METRO 4,4
"[48.829746119059685, 2.2310281002026207]",Pont de Sèvres,Pont de Sèvres,METRO,METRO 9,9
"[48.81987622012246, 2.3645319531092004]",Porte de Choisy,Porte de Choisy,METRO,METRO 7,7
"[48.89434384790808, 2.3474307799602045]",Simplon,Simplon,METRO,METRO 4,4
"[48.85849912278188, 2.3231676112467445]",Solférino,Solférino,METRO,METRO 12,12
"[48.83244909820875, 2.288022141100324]",Porte de Versailles,Porte de Versailles,METRO,METRO 12,12
"[48.81922334867439, 2.35970521674602]",Porte d'Italie,Porte d'Italie,METRO,METRO 7,7
"[48.82135578287942, 2.369290587346029]",Porte d'Ivry,Porte d'Ivry,METRO,METRO 7,7
"[48.859873622536846, 2.3719139801008366]",Richard Lenoir,Richard Lenoir,METRO,METRO 5,5
"[48.865737865732086, 2.3344377148655506]",Pyramides,Pyramides,METRO,METRO 7,7
"[48.87388185322374, 2.385316215101792]",Pyrénées,Pyrénées,METRO,METRO 11,11
"[48.861204989395915, 2.3534957414911455]",Rambuteau,Rambuteau,METRO,METRO 11,11
"[48.838964279775986, 2.330754192086215]",Raspail,Raspail,METRO,METRO 4,4
"[48.866496342855754, 2.3513589155329915]",Réaumur Sébastopol,Réaumur Sébastopol,METRO,METRO 3,3
"[48.86760087916799, 2.3627573800027624]",République,République,METRO,METRO 8,8
"[48.86778029961571, 2.362928700156112]",République,République,METRO,METRO 9,9
"[48.838427296033, 2.3609671676988544]",Saint-Marcel,Saint-Marcel,METRO,METRO 5,5
"[48.86428575771083, 2.3797418931775534]",Rue Saint-Maur,Rue Saint-Maur,METRO,METRO 3,3
"[48.883809200299005, 2.3046744405283954]",Wagram,Wagram,METRO,METRO 3,3
"[48.83951658446791, 2.301107516242396]",Vaugirard,Vaugirard,METRO,METRO 12,12
"[48.78756279201086, 2.3678041056034975]",Villejuif - Louis Aragon,Villejuif - Louis Aragon,METRO,METRO 7,7
"[48.79648308361576, 2.368269540049694]",Villejuif Paul Vaillant-Couturier,Villejuif Paul Vaillant-Couturier,METRO,METRO 7,7
"[48.89740222196378, 2.344847748752398]",Porte de Clignancourt,Porte de Clignancourt,METRO,METRO 4,4
"[48.89724528715874, 2.359507868815593]",Porte de la Chapelle,Porte de la Chapelle,METRO,METRO 12,12
"[48.87599106387279, 2.3578807719253265]",Gare de l'Est,Gare de l'Est,METRO,METRO 4,4
"[48.8437813048013, 2.324397012385794]",Montparnasse-Bienvenüe,Montparnasse-Bienvenüe,METRO,METRO 4,4
"[48.89122859226912, 2.402352143900472]",Hoche,Hoche,METRO,METRO 5,5
"[48.8464230763525, 2.418759786698671]",Saint-Mandé,Saint-Mandé,METRO,METRO 1,1
"[48.86306501928347, 2.2862431693282357]",Trocadéro,Trocadéro,METRO,METRO 9,9
"[48.80468811997663, 2.363953196602165]",Villejuif - Léo Lagrange,Villejuif - Léo Lagrange,METRO,METRO 7,7
"[48.91494975634199, 2.4044090887818634]",Fort d'Aubervilliers,Fort d'Aubervilliers,METRO,METRO 7,7
"[48.88289191651976, 2.3090522645504783]",Malesherbes,Malesherbes,METRO,METRO 3,3
"[48.85301676698268, 2.3355020517275578]",Mabillon,Mabillon,METRO,METRO 10,10
"[48.82430937015939, 2.273665557499754]",Mairie d'Issy,Mairie d'Issy,METRO,METRO 12,12
"[48.834785157146825, 2.4053832106267707]",Porte Dorée,Porte Dorée,METRO,METRO 8,8
"[48.821829557134386, 2.3700536035296764]",Porte d'Ivry,Porte d'Ivry,TRAMWAY,TRAM 3a,3A
"[48.8469481509172, 2.4095514297873715]",Porte de Vincennes,Porte de Vincennes,TRAMWAY,TRAM 3a,3A
"[48.929816426446465, 2.3572920708824565]",Saint-Denis - Porte de Paris,Saint-Denis - Porte de Paris,TRAMWAY,TRAM 8,8
"[48.8411869193093, 2.320509227539884]",Montparnasse,Montparnasse,TRAIN,TRANSILIEN N,N
"[48.894980809790994, 2.3127919615012913]",Porte de Clichy,Porte de Clichy,METRO,METRO 14,14
"[48.87600129056708, 2.225959095144878]",Belvédère,Belvédère,TRAMWAY,TRAM 2,2
"[48.931734824551995, 2.378225490397901]",Cosmonautes,Cosmonautes,TRAMWAY,TRAM 1,1
"[48.9140932625715, 2.431278002116334]",Gaston Roulaud,Gaston Roulaud,TRAMWAY,TRAM 1,1
"[48.82470768479173, 2.260481575638462]",Jacques-Henri Lartigue,Jacques-Henri Lartigue,TRAMWAY,TRAM 2,2
"[48.935605707425715, 2.3343329145357625]",Mairie de Villeneuve-la-Garenne,Mairie de Villeneuve-la-Garenne,TRAMWAY,TRAM 1,1
"[48.92326825411701, 2.217589799339641]",Pont de Bezons,Pont de Bezons,TRAMWAY,TRAM 2,2
"[48.917514906645074, 2.224812188878314]",Parc Pierre Lagravère,Parc Pierre Lagravère,TRAMWAY,TRAM 2,2
"[48.87945550232368, 2.401233644855654]",Hôpital Robert Debré,Hôpital Robert Debré,TRAMWAY,TRAM 3b,3B
"[48.88501678825914, 2.3967512888038964]",Butte du Chapeau Rouge,Butte du Chapeau Rouge,TRAMWAY,TRAM 3b,3B
"[48.976665691418034, 2.3774196746658705]",Les Flanades,Les Flanades,TRAMWAY,TRAM 5,5
"[48.9708834033042, 2.3660038891143387]",Jacques Prévert,Jacques Prévert,TRAMWAY,TRAM 5,5
"[48.944818931737956, 2.3570063564706416]",Roger Sémat,Roger Sémat,TRAMWAY,TRAM 5,5
"[48.76818987493941, 2.368043000890792]",Bretagne,Bretagne,TRAMWAY,TRAM 7,7
"[48.759573534326904, 2.3663980000432177]",Porte de Thiais,Porte de Thiais,TRAMWAY,TRAM 7,7
"[48.78198667156529, 2.180493750928926]",L’Onde,L’Onde,TRAMWAY,TRAM 6,6
"[48.80420493736828, 2.2890572535997067]",Centre de Châtillon,Centre de Châtillon,TRAMWAY,TRAM 6,6
"[48.78008715105366, 2.196505812489854]",Louvois,Louvois,TRAMWAY,TRAM 6,6
"[48.932051821778835, 2.352701984386339]",Pierre De Geyter,Pierre De Geyter,TRAMWAY,TRAM 8,8
"[48.95272632896365, 2.3434612795268253]",Jean Vilar,Jean Vilar,TRAMWAY,TRAM 8,8
"[48.897923572022464, 2.5617143040426065]",Arboretum,Arboretum,TRAMWAY,TRAM 4,4
"[48.7786696964692, 2.3963579030386173]",Watteau - Rondenay,Watteau - Rondenay,TRAMWAY,TRAM 9,9
"[48.7639148701424, 2.4058089440372177]",Rouget de Lisle,Rouget de Lisle,TRAMWAY,TRAM 9,9
"[48.74499563732309, 2.4083182947704547]",Orly - Gaston Viens,Orly - Gaston Viens,TRAMWAY,TRAM 9,9
"[48.93638914612756, 2.363640702197924]",Cimetière de Saint-Denis,Cimetière de Saint-Denis,TRAMWAY,TRAM 1,1
"[48.95316824583038, 2.315403612112167]",Rose Bertin,Rose Bertin,TRAMWAY,TRAM 8,8
"[48.952680186297926, 2.3579830753256545]",Petit Pierrefitte,Petit Pierrefitte,TRAMWAY,TRAM 5,5
"[48.9274028907232, 2.39247111931683]",Hôtel de Ville de La Courneuve,Hôtel de Ville de La Courneuve,TRAMWAY,TRAM 1,1
"[48.9299710252732, 2.3847588600759835]",Six Routes,Six Routes,TRAMWAY,TRAM 1,1
"[48.831696592172385, 2.281470444083867]",Porte d'Issy,Porte d'Issy,TRAMWAY,TRAM 2,2
"[48.937509895507496, 2.3504000185400646]",Théâtre Gérard Philipe,Théâtre Gérard Philipe,TRAMWAY,TRAM 1,1
"[48.960134541354385, 2.367256583472629]",Pierrefitte Stains,Pierrefitte Stains,TRAMWAY,TRAM 11,11
"[48.860381278263674, 2.31489073005888]",Invalides,Invalides,METRO,METRO 8,8
"[49.00897846001637, 2.5448318979171196]",Parc PR,Parc PR,VAL,CDGVAL,CDG
"[49.01768620871566, 2.0901816209910136]",Éragny-Neuville,Éragny-Neuville,TRAIN,TRANSILIEN J,J
"[48.99031358296854, 2.263285353999832]",Ermont-Halte,Ermont-Halte,TRAIN,TRANSILIEN H,H
"[48.58676705766165, 1.5926685170022563]",Maintenon,Maintenon,TRAIN,GL,GL
"[48.32402397966083, 3.1304207630989658]",Champigny-sur-Yonne,Champigny-sur-Yonne,TRAIN,GL,GL
"[49.1870872042629, 2.459549118844452]",Chantilly-Gouvieux,Chantilly-Gouvieux,RER,RER D,D
"[49.03791491563732, 3.4094570946747402]",Château-Thierry,Château-Thierry,TRAIN,TRANSILIEN P,P
"[48.87844429946005, 2.3619653022299594]",Château-Landon,Château-Landon,METRO,METRO 7,7
"[48.805195668207666, 2.1892781185588643]",Chaville Rive Gauche,Chaville Rive Gauche,TRAIN,TRANSILIEN N,N
"[48.62590139398081, 2.430155386011356]",Évry Courcouronnes,Évry Courcouronnes,RER,RER D,D
"[49.261198496038396, 1.8730972125861565]",Chaumont-en-Vexin,Chaumont-en-Vexin,TRAIN,TRANSILIEN J,J
"[48.94345963195152, 1.5417749316626157]",Bréval,Bréval,TRAIN,GL,GL
"[49.0184866494485, 1.149740605527025]",Évreux,Évreux,TRAIN,GL,GL
"[48.99188915932341, 3.364379893535807]",Chézy-sur-Marne,Chézy-sur-Marne,TRAIN,TRANSILIEN P,P
"[48.875672106146304, 2.327842235259621]",Saint-Lazare,Saint-Lazare,METRO,METRO 12,12
"[48.99033252744756, 2.0739471888196923]",Conflans-Fin-d'Oise,Conflans-Fin-d'Oise,RER,RER A,A
"[48.48258219543916, 1.5243595289461647]",La Villette-Saint-Prest,La Villette-Saint-Prest,TRAIN,GL,GL
"[47.9608881446307, 3.512888761289445]",Laroche-Migennes,Laroche-Migennes,TRAIN,GL,GL
"[48.88341808759222, 2.3496748325822017]",Barbès-Rochechouart,Barbès-Rochechouart,METRO,METRO 4,4
"[48.872283107993574, 2.37673072170184]",Belleville,Belleville,METRO,METRO 2,2
"[48.89090644862382, 2.3770904390888754]",Crimée,Crimée,METRO,METRO 7,7
"[48.8931499848255, 2.4127630445476265]",Église de Pantin,Église de Pantin,METRO,METRO 5,5
"[48.835152534806205, 2.3585662563494663]",Campo Formio,Campo Formio,METRO,METRO 5,5
"[48.85971866106072, 2.3467682857366983]",Châtelet,Châtelet,METRO,METRO 4,4
"[48.856942735225, 2.3481474810054985]",Châtelet,Châtelet,METRO,METRO 7,7
"[48.88032518553965, 2.3087738359558063]",Monceau,Monceau,METRO,METRO 2,2
"[48.849575212975026, 2.298625127144873]",La Motte Picquet-Grenelle,La Motte Picquet-Grenelle,METRO,METRO 8,8
"[48.76881073327119, 2.4642800705433565]",Créteil - Pointe du Lac,Créteil - Pointe du Lac,METRO,METRO 8,8
"[48.87542071571821, 2.3254763744470495]",Saint-Lazare,Saint-Lazare,METRO,METRO 13,13
"[48.85509449354248, 2.384699760132843]",Charonne,Charonne,METRO,METRO 9,9
"[48.85710325722025, 2.3681841149506986]",Chemin Vert,Chemin Vert,METRO,METRO 8,8
"[48.871692983636265, 2.3384630810087437]",Richelieu-Drouot,Richelieu-Drouot,METRO,METRO 8,8
"[48.881094426231876, 2.3147210047461946]",Villiers,Villiers,METRO,METRO 2,2
"[48.96562485707645, 2.363302264997832]",Alcide d'Orbigny,Alcide d'Orbigny,TRAMWAY,TRAM 5,5
"[48.94393432473557, 2.4111217548968233]",Dugny - La Courneuve,Dugny - La Courneuve,TRAMWAY,TRAM 11,11
"[48.73369934615565, 2.3714125382197087]",Coeur d'Orly,Coeur d'Orly,TRAMWAY,TRAM 7,7
"[48.803489717990644, 2.3173602968975313]",Bagneux - Lucie Aubrac,Bagneux - Lucie Aubrac,METRO,METRO 4,4
"[48.90808243688599, 2.3777414811061086]",Aimé Césaire,Aimé Césaire,METRO,METRO 12,12
"[48.90320461451807, 2.0729714565656727]",Lisière Pereire,Lisière Pereire,TRAMWAY,TRAM 13,13
"[48.769323788486744, 2.249652962862063]",Malabry,Malabry,TRAMWAY,TRAM 10,10
"[48.764720178615015, 2.2658848665512097]",Les Peintres,Les Peintres,TRAMWAY,TRAM 10,10
"[48.762547276993935, 2.2820166881372703]",Petit-Châtenay,Petit-Châtenay,TRAMWAY,TRAM 10,10
"[48.79168460513109, 2.2525341241079597]",Jardin Parisien,Jardin Parisien,TRAMWAY,TRAM 10,10
"[48.83908975449538, 2.2704582437872416]",Pont du Garigliano,Pont du Garigliano,RER,RER C,C
"[48.53289010230884, 2.290082513840396]",Bouray,Bouray,RER,RER C,C
"[48.43449061192662, 2.376672818506991]",Boutigny,Boutigny,RER,RER D,D
"[48.914246473361345, 2.2715987503897535]",Bois-Colombes,Bois-Colombes,TRAIN,TRANSILIEN J,J
"[48.97066504738864, 2.0777317645655975]",Achères-Ville,Achères-Ville,TRAIN,TRANSILIEN L,L
"[48.94679694114592, 2.2578974840274197]",Argenteuil,Argenteuil,TRAIN,TRANSILIEN J,J
"[48.58600788986434, 2.2410700809029738]",Arpajon,Arpajon,RER,RER C,C
"[48.22954993651881, 2.703936052961915]",Bagneaux-sur-Loing,Bagneaux-sur-Loing,TRAIN,TRANSILIEN R,R
"[48.56611781980045, 2.492713002881577]",Le Coudray-Montceaux,Le Coudray-Montceaux,RER,RER D,D
"[49.032972045837816, 2.3368296898368266]",Domont,Domont,TRAIN,TRANSILIEN H,H
"[48.66948372427284, 2.3326229292104714]",Épinay-sur-Orge,Épinay-sur-Orge,RER,RER C,C
"[48.980646099492056, 2.2720847727476317]",Ermont-Eaubonne,Ermont-Eaubonne,RER,RER C,C
"[48.57750848849613, 2.192063068770896]",Breuillet,Breuillet,RER,RER C,C
"[48.371383291366385, 2.3872097971981003]",Buno-Gironville,Buno-Gironville,RER,RER D,D
"[48.69625274687923, 2.1643782427741716]",Bures-sur-Yvette,Bures-sur-Yvette,RER,RER B,B
"[48.97951661734976, 2.292168702598675]",Champ de Courses d'Enghien,Champ de Courses d'Enghien,TRAIN,TRANSILIEN H,H
"[48.877157838768376, 2.552881649780831]",Le Chénay-Gagny,Le Chénay-Gagny,RER,RER E,E
"[48.76378680861681, 2.4113867249361034]",Choisy-le-Roi,Choisy-le-Roi,RER,RER C,C
"[48.81423944456703, 2.2744896721778813]",Clamart,Clamart,TRAIN,TRANSILIEN N,N
"[48.89763744698274, 2.297419948146662]",Clichy-Levallois,Clichy-Levallois,TRAIN,TRANSILIEN L,L
