station_coordinates,station_type_voie,station_dep,line_separation
"[48.724324249700416, 2.2593130001448856]",VDS,91,PR
"[48.72446099971143, 2.259480050114263]",VDS,91,PR
"[48.71440574044311, 2.371998341409354]",VSU1,91,PR
"[48.7140696806073, 2.2532096247244344]",VSU1,91,PR
"[48.70675705630913, 2.2504612628533747]",VSU1,91,FR
"[48.716655226878245, 2.393589888065727]",VDS,91,PR
"[48.682887795321435, 2.5326787362847085]",VDS,91,PR
"[48.631261476399885, 2.500852721170465]",VDS,91,PR
"[48.61634514375932, 2.538900868065574]",VDS,77,PR
"[48.82536177491537, 2.2736131127918715]",VSU1,92,PR
"[48.889044592323046, 2.2311902416627305]",VSU2,92,FR
"[48.88202999102613, 2.1806249930182866]",VSU1,92,PR
"[48.89768965633437, 2.2634728815586715]",VDS,92,FR
"[48.827041493382175, 2.2788471440594167]",VSU1,92,PR
"[48.867642523163134, 2.2267402160143837]",VSU1,92,PR
"[48.90091297170226, 2.2122411277916774]",VDS,92,PR
"[48.8888058375881, 2.236775962666638]",VSU1,92,PR
"[48.828830750025396, 2.264608699831682]",VDS,92,PR
"[48.88580139118601, 2.1759065101245207]",VSU1,92,FR
"[48.87750516570327, 2.2337304601413144]",VSU1,92,PR
"[48.809810990275324, 2.189703749028386]",VSU1,92,FR
"[48.812887950296165, 2.301617099576943]",VDS,92,FR
"[48.928348598202284, 2.246732368001027]",VSU1,92,FR
"[48.92774733854445, 2.246907406656497]",VDS,92,FR
"[48.923089998439245, 2.251016002904323]",VDS,92,FR
"[48.90228535646942, 2.258927577505781]",VDS,92,FR
"[48.88671924992988, 2.173351300122447]",VSU1,92,FR
"[48.80776990813974, 2.268174200195094]",VSU1,92,FR
"[48.78503994930572, 2.2376796617923276]",VSU1,92,PR
"[48.89311362792248, 2.289982787935315]",VSU1,92,FR
"[48.81620705127218, 2.305768342339135]",VDS,92,FR
"[48.88525125013151, 2.2592298996401885]",VSU1,92,PR
"[48.88586547342322, 2.2249434570600943]",VSU2,92,PR
"[48.902047499928635, 2.3070655497353703]",VSU1,92,FR
"[48.91095605206639, 2.3092512742545868]",VSU1,92,FR
"[48.83657515649481, 2.2403606241820317]",VSU2,92,PR
"[48.84125517668596, 2.2254878887050333]",VSU1,92,FR
"[48.923390924035616, 2.2591198583125616]",VDS,92,FR
"[48.81645825008447, 2.3061666499210105]",VDS,92,FR
"[48.897302041442515, 2.280316492961816]",VSU1,92,FR
"[48.89728577319754, 2.2141738398030495]",VSU1,92,PR
"[48.89686414445113, 2.1874886674181084]",VSU2,92,FR
"[48.88642635962522, 2.208849206375816]",VSU1,92,FR
"[48.826183613569206, 2.2185875043598733]",VSU1,92,PR
"[48.82722225984754, 2.2235630862520113]",VSU1,92,PR
"[48.82168152049676, 2.2505225272383718]",VSU1,92,PR
"[48.93118431519051, 2.2836314079631563]",VDS,92,FR
"[48.929897526086464, 2.2829534302066734]",VSU1,92,FR
"[48.809430847341986, 2.3289827595967267]",VSU2,94,FR
"[48.820151981431295, 2.468685649838484]",VDS,94,FR
"[48.81678709431108, 2.370850279244819]",VSU1,94,PR
"[48.79112899193855, 2.454840568154263]",VSU1,94,PR
"[48.75938445186902, 2.3674736300697723]",VDS,94,PR
"[48.820125649865126, 2.4716429496124874]",VDS,94,FR
"[48.798368774043624, 2.4649972737067767]",VSU1,94,PR
"[48.76839289894512, 2.419352866967883]",VDS,94,PR
"[48.76606805008661, 2.411036349997601]",VDS,94,PR
"[48.78257505692649, 2.4075005132486544]",VDS,94,PR
"[48.844739390369845, 2.437172032175051]",VSU1,94,FR
"[48.78511686606766, 2.4075902133742346]",VDS,94,PR
"[48.84663529828038, 2.4979140235548236]",VSU2,94,FR
"[48.7612366308913, 2.327617047270335]",VSU1,94,FR
"[48.76256760864291, 2.312031218011861]",VDS,92,PR
"[48.758634069896054, 2.3442403627400146]",VDS,94,PR
